的,0.04094325317834,de/dí/dì,"(possessive particle)/of, really and truly, aim/clear"
一,0.0157656777959,yī,one/1/single/a(n)
是,0.013516463518602,shì,is/are/am/yes/to be
不,0.011565212046398,bù/bú,(negative prefix)/not/no
了,0.010999916291144,le/liǎo/liào,"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place"
在,0.010383148736476,zài,(located) at/in/exist
人,0.00965354114766,rén,man/person/people
有,0.0092091317711,yǒu,to have/there is/there are/to exist/to be
我,0.00873391683267,wǒ,I/me/myself
他,0.00824665563276,tā,he/him
这,0.00802072233973,zhè/zhèi,"this/these, this/these/(sometimes used before a measure word, especially in Beijing)"
个,0.00619925111839,gè,(a measure word)/individual
们,0.00604562640141,men,(plural marker for pronouns and a few animate nouns)
中,0.00570810369426,zhōng/zhòng,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)"
来,0.0055785353253,lái,to come
上,0.00552740460407,shàng,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up"
大,0.00544724606184,dà/dài,"big/huge/large/major/great/wide/deep/oldest/eldest, doctor"
为,0.0053695835918,wéi/wèi,"act as/take...to be/to be/to do/to serve as/to become, because of/for/to"
和,0.00522193291097,hé/hè/huó/huò,"and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend"
国,0.00509214232441,guó,country/state/nation
地,0.005009451535,de/dì,"(subor. part. adverbial)/-ly, earth/ground/field/place/land"
到,0.0049871574243,dào,to (a place)/until (a time)/up to/to go/to arrive
以,0.00470598496823,yǐ,to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)
说,0.00452175106772,shuì/shuō,"persuade (politically), to speak/to say"
时,0.00430756946866,shí,o'clock/time/when/hour/season/period
要,0.00419118428849,yāo/yào,"demand/ask/request/coerce, important/vital/to want/to be going to/must"
就,0.00398497151619,jiù,at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake
出,0.00390305073666,chū,"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)"
会,0.00379779194042,huì/kuài,"can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting"
可,0.00373691465156,kě,can/may/able to/certain(ly)/to suit/(particle used for emphasis)
也,0.00367051292961,yě,also/too
你,0.0036443946089,nǐ,you
对,0.00363626557873,duì,couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right
生,0.0035246348218,shēng,to be born/to give birth/life/to grow
能,0.00343847123629,néng,can/may/capable/energy/able
而,0.00335517064044,ér,and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)
子,0.0033107322867,zǐ/zi,"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)"
那,0.00329986946318,nǎ/nà/nèi,"how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)"
得,0.0032593018301,dé/de/děi,"obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to"
于,0.00325845430249,yú,"(surname), in/at/to/from/by/than/out of"
着,0.00323675966253,zhāo/zháo/zhe/zhù/zhuó,"catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply"
下,0.00321019173875,xià,"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter"
自,0.00316110748667,zì,from/self/oneself/since
之,0.00314723697365,zhī,(literary equivalent of 的)/(subor. part.)/him/her/it
年,0.00311046254347,nián,year
过,0.00304864470567,guò,(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-
发,0.00296068270789,fā/fà,"to send out/to show (one's feeling)/to issue/to develop, hair"
后,0.00294962350601,hòu,"empress/queen/surname, back/behind/rear/afterwards/after/later"
作,0.00280506320029,zuò,to regard as/to take (somebody) for/to do/to make
里,0.00277924461496,lǐ,"inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown"
用,0.00276728103909,yòng,to use
道,0.00276322427579,dào,direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk
行,0.002748511403,háng/xíng/xìng,"a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct"
所,0.00270293095413,suǒ,actually/place
然,0.00264090640226,rán,correct/right/so/thus/like this/-ly
家,0.002634518938,jiā,"furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession"
种,0.00260120696822,zhǒng/zhòng,"kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate"
事,0.0025796466924,shì,matter/thing/item/work/affair
成,0.00257879399693,chéng/chèng,"finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth"
方,0.00254652593312,fāng,square/quadrilateral/direction/just
多,0.00248929714731,duō,many/much/a lot of/numerous/multi-
经,0.00248748323149,jīng,classics/sacred book/pass through/to undergo/scripture
么,0.00247007274029,ma/me/yāo,"(interrog. part.), (interrog. suff.), one on dice/small"
去,0.00246129256086,qù,to go/to leave/to remove
法,0.00241243569423,fǎ,law/method/way/Buddhist teaching/Legalist/France (abbrev.)
学,0.00239923183404,xué,learn/study/science/-ology
如,0.00232055129729,rú,as (if)/such as
都,0.00227162208074,dōu/dū,"all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city"
同,0.00226150859565,tóng,like/same/similar/together/alike/with
现,0.00224264077038,xiàn,appear/present/now/existing/current
当,0.00221842421897,dāng/dàng,"to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent"
没,0.00221259488266,méi/mò,"(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate"
动,0.00220584050094,dòng,to use/to act/to move/to change
面,0.00219726703557,miàn,"fade/side/surface/aspect/top/face/flour/noodles, flour/noodles"
起,0.00219599057627,qǐ,to rise/to raise/to get up
看,0.00219435236741,kān/kàn,"to look after/to take care of/to watch/to guard, it depends/think/to see/to look at"
定,0.0021836135723,dìng,to set/to fix/to determine/to decide/to order
天,0.00216989809483,tiān,day/sky/heaven
分,0.00216730383345,fēn/fèn,"to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part"
还,0.00214907682175,hái/huán/huàn,"also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return"
进,0.00213001261814,jìn,advance/enter/to come in
好,0.00212846226273,hǎo/hào,"good/well, be fond of"
小,0.0021239197214,xiǎo,small/tiny/few/young
部,0.00208298517088,bù,"ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)"
其,0.00208278879253,qí,his/her/its/theirs/that/such/it (refers to sth preceding it)
些,0.00206986916417,xiē,some/few/several/(a measure word)
主,0.00206555400829,zhǔ,to own/to host/master/lord/primary
样,0.00205757484581,yàng,manner/pattern/way/appearance/shape
理,0.00205725443902,lǐ,reason/logic/science/inner principle or structure
心,0.00202697599799,xīn,heart/mind
她,0.00200828904752,tā,she
本,0.00200573612895,běn,roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)
前,0.001971178707,qián,before/in front/ago/former/previous/earlier/front
开,0.00194834197189,kāi,open/operate (vehicle)/start
但,0.00193514844741,dàn,but/yet/however/only/merely/still
因,0.00192043557463,yīn,cause/reason/because
只,0.00191240990148,qí/zhī/zhǐ,"earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only"
从,0.0019118879485,cōng/cóng/zòng,"lax/yielding/unhurried, from/obey/observe/follow, second cousin"
想,0.00190600176581,xiǎng,to think/to believe/to suppose/to wish/to want/to miss
实,0.00190432221413,shí,real/true/honest/really/solid
日,0.0018798731094,rì,Japan/day/sun/date/day of the month
军,0.00187348047729,jūn,army/military/arms
者,0.001865459972,zhě,"-ist, -er (person)/person (who does sth)"
意,0.0018616254263,yì,idea/meaning/wish/desire/(abbr.) Italy
无,0.00185662811405,wú,-less/not to have/no/none/not/to lack/un-
力,0.00185596146122,lì,power/force/strength
它,0.00178897060422,tā,it
与,0.0017856580115,yú/yǔ/yù,"(interrog. part.), and/to give/together with, take part in"
长,0.00176817000255,cháng/zhǎng,"length/long/forever/always/constantly, chief/head/elder/to grow/to develop"
把,0.00176084198934,bǎ/bà,"(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle"
机,0.00175615474816,jī,machine/opportunity/secret
十,0.00175166388535,shí,ten/10
民,0.00173534381079,mín,the people/nationality/citizen
第,0.00168358261171,dì,"(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)"
公,0.00164661180317,gōng,just/honorable (designation)/public/common
此,0.00164613636085,cǐ,this/these
已,0.00164411573097,yǐ,already/to stop/then/afterwards
工,0.0016409581738,gōng,work/worker/skill/profession/trade/craft/labor
使,0.00163445184895,shǐ,to make/to cause/to enable/to use/to employ/messenger
情,0.00161702068637,qíng,feeling/emotion/passion/situation
明,0.00160137760033,míng,clear/bright/to understand/next/the Ming dynasty
性,0.00160122773265,xìng,sex/nature/surname/suffix corresponding to -ness or -ity
知,0.00158334696698,zhī,to know/to be aware
全,0.00157747628786,quán,all/whole/entire/every/complete
三,0.00157243246494,sān,three/3
又,0.00156551271199,yòu,(once) again/also/both... and.../again
关,0.00156313550037,guān,(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve
点,0.00155448968507,diǎn,(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)
正,0.00153386995819,zhēng/zhèng,"Chinese 1st month of year, just (right)/main/upright/straight/correct/principle"
业,0.00153055736548,yè,business/occupation/study
外,0.00152784941138,wài,outside/in addition/foreign/external
将,0.00152754450814,jiāng/jiàng,"(will, shall, ""future tense"")/ready/prepared/to get/to use, a general"
两,0.00152244900672,liǎng,both/two/ounce/some/a few/tael
高,0.00151698141999,gāo,high/tall
间,0.00151018569548,jiān/jiàn,"between/among/space/(measure word), interstice/separate"
由,0.00151004099563,yóu,follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)
问,0.0014895659686,wèn,to ask
很,0.00146897208098,hěn,very/extremely
最,0.00146606258068,zuì,(the) most/-est
重,0.00146169057843,chóng/zhòng,"to double/to repeat/repetition/iteration/again/a layer, heavy/serious"
并,0.00145534962484,bìng,"and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with"
物,0.0014529207347,wù,thing/object/matter
手,0.00144928256735,shǒu,hand/convenient
应,0.00144898283197,yīng/yìng,"ought, (surname)/to answer/to respond"
战,0.00144067292701,zhàn,to fight/fight/war/battle
向,0.0014314224731,xiàng,"direction/part/side/towards/to/guide/opposite to, guide/opposite to"
头,0.00142069918155,tóu/tou,"head, suff. for nouns"
文,0.00141713853198,wén,language/culture/writing/formal/literary
体,0.0014149163559,tǐ,body/form/style/system
政,0.00139468938572,zhèng,political/politics/government
美,0.00139248788105,měi,America/beautiful
相,0.00139079799367,xiāng/xiàng,"each other/one another/mutually, appearance/portrait/picture"
见,0.00139056544035,jiàn/xiàn,"to see/to meet/to appear (to be sth)/to interview, appear"
被,0.00138966106636,bèi,by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear
利,0.00138918562405,lì,advantage/benefit/profit/sharp
什,0.00138430717237,shén/shí,"what, tenth (used in fractions)"
二,0.00138243124233,èr,two/2
等,0.0013761781422,děng,class/rank/grade/equal to/same as/wait for/await/et cetera/and so on
产,0.00137032813448,chǎn,to reproduce/to produce/give birth/products/produce/resources/estate/property
或,0.00134770328128,huò,maybe/perhaps/might/possibly/or
新,0.00131222598179,xīn,meso- (chem.)/new/newly
己,0.00129658289576,jǐ,6th heavenly stem/self
制,0.00129585939658,zhì,"system/to make/to manufacture/to control/to regulate, manufacture"
身,0.00129054167753,shēn,body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit
果,0.00127558591575,guǒ,fruit/result
加,0.0012591366449,jiā,to add/plus
西,0.00125898677721,xī,west
斯,0.00124493538941,sī,(phonetic)/this
月,0.00124320932705,yuè,moon/month
话,0.00124063056923,huà,dialect/language/spoken words/speech/talk/words/conversation/what someone said
合,0.00123654796667,gě/hé,"one-tenth of a peck, Chinese musical note/fit/to join"
回,0.00123637225972,huí,(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam
特,0.00123558674632,té/tè,"special/unusual/extraordinary, male animal/special (-ly)"
代,0.00119756686396,dài,substitute/replace/generation/dynasty/geological era/era/age/period
内,0.00119548421987,nèi,inside/inner/internal/within/interior
信,0.00118988743686,xìn,letter/true/to believe/sign/evidence
表,0.00117190331417,biǎo,surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external
化,0.00116136606528,huà,to make into/to change into/-ization/to ... -ize/to transform
老,0.00115268924287,lǎo,(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)
给,0.00112563554106,gěi/jǐ,"to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide"
